datetime,symbol,open,high,low,close,volume
2021-04-14,BITKUB:BTCTHB,2070400.03,2129998.97,2063000.0,2092900.0,271.41624274
2021-04-15,BITKUB:BTCTHB,2092900.0,2100000.0,2030009.0,2062199.94,203.40211006
2021-04-16,BITKUB:BTCTHB,2062169.99,2080000.0,2000000.0,2054999.99,265.58494158
2021-04-17,BITKUB:BTCTHB,2054999.95,2085999.0,2015558.8,2033000.19,155.19365167
2021-04-18,BITKUB:BTCTHB,2033000.01,2049999.99,1800999.0,1876005.05,509.45936733
2021-04-19,BITKUB:BTCTHB,1876080.05,1930123.0,1810000.0,1824998.99,270.1778427
2021-04-20,BITKUB:BTCTHB,1824998.82,1880000.0,1800000.0,1860000.0,225.61331295
2021-04-21,BITKUB:BTCTHB,1859999.89,1889999.95,1805000.0,1830000.01,196.39806345
2021-04-22,BITKUB:BTCTHB,1830000.13,1842667.5,1732675.82,1793200.05,321.58754571
2021-04-23,BITKUB:BTCTHB,1793210.3,1797668.61,1561500.0,1641500.0,636.3966878
2021-04-24,BITKUB:BTCTHB,1642999.7,1699999.99,1610000.0,1646005.55,231.34907082
2021-04-25,BITKUB:BTCTHB,1648953.17,1675335.0,1615000.0,1638485.26,158.1268947
2021-04-26,BITKUB:BTCTHB,1643992.79,1759676.99,1570003.0,1748000.28,319.7161703
2021-04-27,BITKUB:BTCTHB,1749499.99,1829100.0,1730000.0,1793325.0,245.53285876
2021-04-28,BITKUB:BTCTHB,1793205.0,1825989.0,1746000.0,1776000.13,228.04456331
2021-04-29,BITKUB:BTCTHB,1776000.13,1820000.0,1700000.0,1702000.0,236.81137332
2021-04-30,BITKUB:BTCTHB,1702000.0,1819397.0,1690000.0,1796999.46,228.91635203
2021-05-01,BITKUB:BTCTHB,1796332.39,1850000.0,1785555.0,1821998.97,250.31556864
2021-05-02,BITKUB:BTCTHB,1821998.93,1834360.57,1790100.02,1818764.95,152.91963273
2021-05-03,BITKUB:BTCTHB,1818764.9,1880000.0,1808628.0,1851994.99,212.62975132
2021-05-04,BITKUB:BTCTHB,1851992.61,1862050.0,1721306.1,1736000.12,341.94035414
2021-05-05,BITKUB:BTCTHB,1738500.0,1853340.08,1729999.01,1832028.0,320.508524
2021-05-06,BITKUB:BTCTHB,1832028.05,1849999.0,1795000.0,1807121.4,188.89453049
2021-05-07,BITKUB:BTCTHB,1807121.38,1839990.0,1755000.0,1835001.26,228.39043562
2021-05-08,BITKUB:BTCTHB,1838000.0,1898880.0,1800008.0,1873999.45,303.93588752
2021-05-09,BITKUB:BTCTHB,1873999.34,1910000.0,1831000.0,1875001.26,276.59322483
2021-05-10,BITKUB:BTCTHB,1876999.0,1930000.0,1855001.0,1879005.0,232.64571106
2021-05-11,BITKUB:BTCTHB,1879000.0,1885000.0,1797529.55,1833711.0,372.64831402
2021-05-12,BITKUB:BTCTHB,1833711.01,1880000.0,1799000.0,1804949.46,200.68733463
2021-05-13,BITKUB:BTCTHB,1804949.39,1818993.99,1605000.0,1622835.0,643.95364438
2021-05-14,BITKUB:BTCTHB,1620001.05,1690000.0,1574602.0,1664000.04,310.86046041
2021-05-15,BITKUB:BTCTHB,1668989.27,1675000.0,1574999.0,1575499.93,326.7875788
2021-05-16,BITKUB:BTCTHB,1575400.0,1619400.0,1536001.0,1547969.88,293.19172261
2021-05-17,BITKUB:BTCTHB,1547800.0,1589998.5,1389937.67,1390000.0,651.20856818
2021-05-18,BITKUB:BTCTHB,1390000.0,1497572.96,1380135.0,1425553.0,304.14385782
2021-05-19,BITKUB:BTCTHB,1425553.83,1430000.0,1015064.06,1319997.95,1188.59309988
2021-05-20,BITKUB:BTCTHB,1318999.94,1389999.0,1150500.0,1285400.0,681.06423619
2021-05-21,BITKUB:BTCTHB,1285400.0,1376996.99,1200800.0,1238999.7,453.90163921
2021-05-22,BITKUB:BTCTHB,1238999.88,1270000.0,1156338.0,1252000.2,389.86058375
2021-05-23,BITKUB:BTCTHB,1252000.2,1259000.0,1032500.5,1067024.96,403.17951397
2021-05-24,BITKUB:BTCTHB,1067024.91,1249998.0,1050500.0,1220202.05,446.94799141
2021-05-25,BITKUB:BTCTHB,1222000.0,1319000.0,1200000.0,1240016.13,496.81796832
2021-05-26,BITKUB:BTCTHB,1240016.19,1310001.0,1222222.0,1257888.31,352.69635481
2021-05-27,BITKUB:BTCTHB,1257888.3,1290000.0,1220000.0,1244000.05,298.53372742
2021-05-28,BITKUB:BTCTHB,1248000.0,1260000.0,1150066.0,1168888.0,365.64490734
2021-05-29,BITKUB:BTCTHB,1168888.0,1203000.0,1111000.0,1131900.05,229.76751457
2021-05-30,BITKUB:BTCTHB,1134999.95,1175000.0,1100000.0,1150000.0,181.57048052
2021-05-31,BITKUB:BTCTHB,1149999.99,1189997.89,1110307.33,1180994.99,249.7487348
